MAIN                       0000000 0000000                  
A107C003_171111_R1GQ       1958065 1958190 TTF_031_010      
A024C006_171027_R1GQ       1084618 1084659 TTF_057_010      
A130C007_171116_R1GQ       1319648 1319712 TTF_080_010      
A133C003_171116_R1GQ       1738924 1739039 TTF_080_020      
A134C003_171116_R1GQ       1796341 1796386 TTF_080_030      
A134C002_171116_R1GQ       1794308 1794361 TTF_080_040      
A143C012_171118_R1GQ       1745701 1745803 TTF_087_010      
A145C007_171118_R1GQ       1960173 1960209 TTF_090_010      
A145C007_171118_R1GQ       1959647 1959749 TTF_090_020      
A027C001_171027_R1GQ       1444479 1444524 TTF_110_010      
A091C003_171109_R1GQ       1147980 1148186 TTF_120_010      
A036C001_171028_R1GQ       2072233 2072311 TTF_130_010      
A086C008_171108_R1GQ       1445895 1446108 TTF_137_010      
A086C009_171108_R1GQ       1457012 1457165 TTF_137_020      
A087C004_171108_R1GQ       1603333 1603891 TTF_139_010      
