MAIN 
A107C003_171111_R1GQ 22:39:46:01 22:39:51:06 TTF_031_010 
A024C006_171027_R1GQ 12:33:12:10 12:33:14:03 TTF_057_010 
A130C007_171116_R1GQ 15:16:25:08 15:16:28:00 TTF_080_010 
A133C003_171116_R1GQ 20:07:35:04 20:07:39:23 TTF_080_020 
A134C003_171116_R1GQ 20:47:27:13 20:47:29:10 TTF_080_030 
A134C002_171116_R1GQ 20:46:02:20 20:46:05:01 TTF_080_040 
A143C012_171118_R1GQ 20:12:17:13 20:12:21:19 TTF_087_010 
A145C007_171118_R1GQ 22:41:13:21 22:41:15:09 TTF_090_010 
A145C007_171118_R1GQ 22:40:51:23 22:40:56:05 TTF_090_020 
A027C001_171027_R1GQ 16:43:06:15 16:43:08:12 TTF_110_010 
A091C003_171109_R1GQ 13:17:12:12 13:17:21:02 TTF_120_010 
A036C001_171028_R1GQ 23:59:03:01 23:59:06:07 TTF_130_010 
A086C008_171108_R1GQ 16:44:05:15 16:44:14:12 TTF_137_010 
A086C009_171108_R1GQ 16:51:48:20 16:51:55:05 TTF_137_020 
A087C004_171108_R1GQ 18:33:25:13 18:33:48:19 TTF_139_010 
